"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
5.217955110E-1	1.359370053E-1	8.833099902E-2	4.607399926E-2	1.685350059E-1
5.266412780E-1	1.461640000E-1	1.136979982E-1	1.306509972E-1	2.266292849E-1
5.314868240E-1	1.653279960E-1	9.664099663E-2	1.731570065E-1	2.581785766E-1
5.363324370E-1	1.532679945E-1	5.432699993E-2	1.897320002E-1	2.498814378E-1
5.411779780E-1	1.248489991E-1	4.195999820E-3	1.862629950E-1	2.242739002E-1
5.460237450E-1	9.419699758E-2	-4.529400170E-2	1.612060070E-1	1.921249532E-1
5.508692860E-1	6.654600054E-2	-8.578199893E-2	1.339440048E-1	1.724178585E-1
5.557148240E-1	4.289399832E-2	-1.128069982E-1	1.166049987E-1	1.678154929E-1
5.605604510E-1	1.049999986E-2	-1.268309951E-1	1.358699948E-1	1.861639245E-1
5.654059920E-1	-2.090499923E-2	-1.262370050E-1	1.793749928E-1	2.203365346E-1
5.702515300E-1	-1.908699982E-2	-1.085229963E-1	1.646340042E-1	1.981058042E-1
5.750973030E-1	-3.073999891E-3	-8.522299677E-2	1.161279976E-1	1.440767868E-1
5.799428430E-1	4.755000118E-3	-6.811399758E-2	8.185700327E-2	1.065959459E-1
5.847883820E-1	7.315000053E-3	-5.679000169E-2	6.682600081E-2	8.800186306E-2
5.896339900E-1	8.789000101E-3	-4.638899863E-2	6.252700090E-2	7.835056834E-2
5.944795300E-1	6.072999910E-3	-3.334499896E-2	6.266400218E-2	7.124287650E-2
5.993250690E-1	-3.185000038E-3	-2.054600045E-2	6.845500320E-2	7.154278317E-2
6.041708600E-1	-1.608400047E-2	-1.094599999E-2	7.660000026E-2	7.903208226E-2
6.090164010E-1	-3.285099939E-2	-8.182000369E-3	8.560600132E-2	9.205716024E-2
6.138619390E-1	-5.367200077E-2	-1.260999963E-2	1.009190008E-1	1.149971325E-1
